entry,cofValid,synonyms,queried,chosenReason
Cyprinus brama,Abramis brama orientalis,Abramis brama; Cyprinus brama,Abramis brama orientalis,fallback_max_valids
Haplochilichthys stuhlmanni,Aliteranodon stuhlmanni,Aplocheilichthys stuhlmanni; Pantanodon stuhlmanni; Haplochilichthys stuhlmanni,Aliteranodon stuhlmanni,matched_blockValid
Phoxinellus punicus,Anaecypris punica,Pseudophoxinus punicus; Phoxinellus punicus,Anaecypris punica,matched_blockValid
Anguilla bicolor,Anguilla bicolor pacifica,Anguilla bicolor,Anguilla bicolor pacifica,fallback_max_valids
Aphyosemion celiae,Aphyosemion celiae winifredae,Aphyosemion celiae,Aphyosemion celiae winifredae,fallback_max_valids
Atherina bonapartii,Atherina boyeri pontica,Atherina bonapartei; Atherina bonapartii,Atherina boyeri pontica,fallback_max_valids
Alestes affinis,Brachyalestes affinis,Alestes affinis; Brycinus affinis,Brachyalestes affinis,matched_blockValid
Brycinus fwaensis,Brachyalestes fwaensis,Brycinus fwaensis,Brachyalestes fwaensis,matched_blockValid
Alestes sadleri,Brachyalestes sadleri,Alestes sadleri; Brycinus sadleri; Bryconalestes sadleri,Brachyalestes sadleri,matched_blockValid
Alestes taeniurus,Brachyalestes taeniurus,Alestes taeniurus; Brycinus taeniurus,Brachyalestes taeniurus,matched_blockValid
Cyprinus auratus,Carassius auratus 'high back crucian carp,Cyprinus auratus; Carassius carassius; Carassius auratus,Carassius auratus 'high back crucian carp,fallback_max_valids
Cyprinus auratus,Carassius auratus grandoculis,Cyprinus auratus; Carassius carassius; Carassius auratus,Carassius auratus grandoculis,fallback_max_valids
Cyprinus auratus,Carassius auratus red var,Cyprinus auratus; Carassius carassius; Carassius auratus,Carassius auratus red var,fallback_max_valids
Cyprinus auratus,Carassius auratus ssp. 'Pengze,Cyprinus auratus; Carassius carassius; Carassius auratus,Carassius auratus ssp. 'Pengze,fallback_max_valids
Cyprinus auratus,Carassius auratus ssp. 'Pingxiang,Cyprinus auratus; Carassius carassius; Carassius auratus,Carassius auratus ssp. 'Pingxiang,fallback_max_valids
Cyprinus auratus,Carassius auratus suogu var,Cyprinus auratus; Carassius carassius; Carassius auratus,Carassius auratus suogu var,fallback_max_valids
NA,Chrysichthys congicus,NA,Chrysichthys congicus,no_records
Tilapia congica,Coptodon congicus,Tilapia congica,Coptodon congicus,matched_blockValid
