synonym,cofValid
Abramis brama,Abramis brama orientalis
Cyprinus brama,Abramis brama orientalis
Aplocheilichthys stuhlmanni,Aliteranodon stuhlmanni
Pantanodon stuhlmanni,Aliteranodon stuhlmanni
Haplochilichthys stuhlmanni,Aliteranodon stuhlmanni
Pseudophoxinus punicus,Anaecypris punica
Phoxinellus punicus,Anaecypris punica
Anguilla bicolor,Anguilla bicolor pacifica
Aphyosemion celiae,Aphyosemion celiae winifredae
Atherina bonapartei,Atherina boyeri pontica
Atherina bonapartii,Atherina boyeri pontica
Alestes affinis,Brachyalestes affinis
Brycinus affinis,Brachyalestes affinis
Brycinus fwaensis,Brachyalestes fwaensis
Alestes sadleri,Brachyalestes sadleri
Brycinus sadleri,Brachyalestes sadleri
Bryconalestes sadleri,Brachyalestes sadleri
Alestes taeniurus,Brachyalestes taeniurus
Brycinus taeniurus,Brachyalestes taeniurus
Cyprinus auratus,Carassius auratus 'high back crucian carp
Carassius carassius,Carassius auratus 'high back crucian carp
Carassius auratus,Carassius auratus 'high back crucian carp
Cyprinus auratus,Carassius auratus grandoculis
Carassius carassius,Carassius auratus grandoculis
Carassius auratus,Carassius auratus grandoculis
Cyprinus auratus,Carassius auratus red var
Carassius carassius,Carassius auratus red var
Carassius auratus,Carassius auratus red var
Cyprinus auratus,Carassius auratus ssp. 'Pengze
Carassius carassius,Carassius auratus ssp. 'Pengze
Carassius auratus,Carassius auratus ssp. 'Pengze
Cyprinus auratus,Carassius auratus ssp. 'Pingxiang
Carassius carassius,Carassius auratus ssp. 'Pingxiang
Carassius auratus,Carassius auratus ssp. 'Pingxiang
Cyprinus auratus,Carassius auratus suogu var
Carassius carassius,Carassius auratus suogu var
Carassius auratus,Carassius auratus suogu var
Tilapia congica,Coptodon congicus
Tilapia nyongana,Coptodon nyonganus
Coptodon nyongana,Coptodon nyonganus
Hippopotamyrus grahami,Cyphomyrus grahami
Marcusenius grahami,Cyphomyrus grahami
Cyprinus carpio,Cyprinus carpio 'Guilin
Cyprinus carpio,Cyprinus carpio 'Songpu carp
Cyprinus carpio,Cyprinus carpio 'Songpu mirror carp
Cyprinus carpio,Cyprinus carpio 'Ying hybrid
Cyprinus carpio,Cyprinus carpio 'blue var
Cyprinus carpio,Cyprinus carpio 'color
Cyprinus carpio,Cyprinus carpio 'frigid carp
Cyprinus carpio,Cyprinus carpio 'koi
Cyprinus carpio,Cyprinus carpio 'longfin
Cyprinus carpio,Cyprinus carpio 'wananensis
Cyprinus carpio,Cyprinus carpio 'wuyuanensis
Cyprinus carpio,Cyprinus carpio 'xingguonensis
Cyprinus carpio,Cyprinus carpio (triploid
Cyprinus carpio,Cyprinus carpio haematopterus
Cyprinus carpio,Cyprinus carpio nudus
Cyprinus carpio,Cyprinus carpio var. baisenensis
Secutor ruconius,Deveximentum ruconius
Leiognathus ruconius,Deveximentum ruconius
Chanda ruconius,Deveximentum ruconius
Aphyosemion gardneri,Fundulopanchax gardneri nigerianus
Fundulopanchax gardneri,Fundulopanchax gardneri nigerianus
Fundulus gardneri,Fundulopanchax gardneri nigerianus
Phreatichthys andruzzii,Garra andruzzii
Hippopotamyrus ansorgii,Heteromormyrus ansorgii
Marcusenius ansorgii,Heteromormyrus ansorgii
Hippopotamyrus longilateralis,Heteromormyrus longilateralis
Hippopotamyrus szaboi,Heteromormyrus szaboi
Brienomyrus tavernei,Heteromormyrus tavernei
Paramormyrops tavernei,Heteromormyrus tavernei
Gnathochromis pfefferi,Jabarichromis pfefferi
Paratilapia pfefferi,Jabarichromis pfefferi
Barbus pallaryi,Luciobarbus pallaryi figuigensis
Luciobarbus pallaryi,Luciobarbus pallaryi figuigensis
Mormyrus caballus,Mormyrus caballus bumbanus
Oncorhynchus mykiss,Oncorhynchus mykiss aguabonita
Salmo mykiss,Oncorhynchus mykiss aguabonita
Parasalmo mykiss,Oncorhynchus mykiss aguabonita
Oncorhynchus mykiss,Oncorhynchus mykiss aquilarum
Salmo mykiss,Oncorhynchus mykiss aquilarum
Parasalmo mykiss,Oncorhynchus mykiss aquilarum
Oncorhynchus mykiss,Oncorhynchus mykiss gairdneri
Salmo mykiss,Oncorhynchus mykiss gairdneri
Parasalmo mykiss,Oncorhynchus mykiss gairdneri
Oncorhynchus mykiss,Oncorhynchus mykiss irideus
Salmo mykiss,Oncorhynchus mykiss irideus
Parasalmo mykiss,Oncorhynchus mykiss irideus
Oncorhynchus mykiss,Oncorhynchus mykiss nelsoni
Salmo mykiss,Oncorhynchus mykiss nelsoni
Parasalmo mykiss,Oncorhynchus mykiss nelsoni
Oncorhynchus mykiss,Oncorhynchus mykiss newberrii
Salmo mykiss,Oncorhynchus mykiss newberrii
Parasalmo mykiss,Oncorhynchus mykiss newberrii
Ophiocara porocephala,Ophiocara porocephalum
Eleotris porocephala,Ophiocara porocephalum
Tilapia urolepis,Oreochromis urolepis hornorum
Oreochromis urolepis,Oreochromis urolepis hornorum
Petrochromis trewavasae,Petrochromis trewavasae ephippium
Polypterus bichir,Polypterus bichir lapradei
Polypterus endlicherii,Polypterus endlicherii congicus
Polypterus palmas,Polypterus palmas buettikoferi
Polypterus palmas,Polypterus palmas polli
Hemigrammopetersius barnardi,Rhabdalestes barnardi
Petersius barnardi,Rhabdalestes barnardi
Hemichromis bimaculatus,Rubricatochromis bimaculatus
Hemichromis cerasogaster,Rubricatochromis cerasogaster
Paratilapia cerasogaster,Rubricatochromis cerasogaster
Hemichromis guttatus,Rubricatochromis guttatus
Hemichromis letourneuxi,Rubricatochromis letourneuxi
Hemichromis lifalili,Rubricatochromis lifalili
Hemichromis stellifer,Rubricatochromis stellifer
Leuciscus rutilus,Rutilus rutilus caspicus
Rutilus rutilus,Rutilus rutilus caspicus
Cyprinus rutilus,Rutilus rutilus caspicus
Leuciscus rutilus,Rutilus rutilus lacustris
Rutilus rutilus,Rutilus rutilus lacustris
Cyprinus rutilus,Rutilus rutilus lacustris
Blennius fluviatilis,Salariopsis fluviatilis
Salaria fluviatilis,Salariopsis fluviatilis
Ichthyocoris fluviatilis,Salariopsis fluviatilis
Salmo fario,Salmo trutta fario
Salmo fario,Salmo trutta lacustris
Salmo fario,Salmo trutta oxianus
Salvelinus alpinus,Salvelinus alpinus erythrinus
Salmo alpinus,Salvelinus alpinus erythrinus
Salvelinus alpinus,Salvelinus alpinus oquassa
Salmo alpinus,Salvelinus alpinus oquassa
Tilapia galilaea,Sarotherodon galilaeus boulengeri
Sarotherodon galilaeus,Sarotherodon galilaeus boulengeri
Sparus galilaeus,Sarotherodon galilaeus boulengeri
Tilapia galilaea,Sarotherodon galilaeus sanagaensis
Sarotherodon galilaeus,Sarotherodon galilaeus sanagaensis
Sparus galilaeus,Sarotherodon galilaeus sanagaensis
Barbus rubripinnis,Systomus rubripinnis
Cyprinus putitora,Tor putitora
Pseudophoxinus callensis,Tropidophoxinellus callensis
Leuciscus callensis,Tropidophoxinellus callensis
