fbAcceptedOriginal_validName,fbAcceptedOriginal_speciesName,cofValid_validName,cofValid_speciesName
Polypterus bichir,Polypterus bichir,Polypterus bichir lapradei,Polypterus bichir lapradei
Polypterus endlicherii,Polypterus endlicherii,Polypterus endlicherii congicus,Polypterus endlicherii congicus
Polypterus palmas,Polypterus palmas,Polypterus palmas buettikoferi,Polypterus palmas buettikoferi
Deveximentum ruconius,Leiognathus ruconius,Deveximentum ruconius,Deveximentum ruconius
Anguilla bicolor,Anguilla bicolor,Anguilla bicolor pacifica,Anguilla bicolor pacifica
Salariopsis fluviatilis,Salaria fluviatilis,Salariopsis fluviatilis,Salariopsis fluviatilis
Brycinus affinis,Brycinus affinis,Brachyalestes affinis,Brachyalestes affinis
Brycinus fwaensis,Brycinus fwaensis,Brachyalestes fwaensis,Brachyalestes fwaensis
Brycinus sadleri,Brycinus sadleri,Brachyalestes sadleri,Brachyalestes sadleri
Brycinus taeniurus,Brycinus taeniurus,Brachyalestes taeniurus,Brachyalestes taeniurus
Hemigrammopetersius barnardi,Hemigrammopetersius barnardi,Rhabdalestes barnardi,Rhabdalestes barnardi
Coptodon nyongana,Coptodon nyongana,Coptodon nyonganus,Coptodon nyonganus
Jabarichromis pfefferi,Gnathochromis pfefferi,Jabarichromis pfefferi,Jabarichromis pfefferi
Oreochromis urolepis,Oreochromis urolepis,Oreochromis urolepis hornorum,Oreochromis urolepis hornorum
Petrochromis trewavasae,Petrochromis trewavasae,Petrochromis trewavasae ephippium,Petrochromis trewavasae ephippium
Rubricatochromis bimaculatus,Hemichromis bimaculatus,Rubricatochromis bimaculatus,Rubricatochromis bimaculatus
Rubricatochromis cerasogaster,Hemichromis cerasogaster,Rubricatochromis cerasogaster,Rubricatochromis cerasogaster
Rubricatochromis guttatus,Hemichromis guttatus,Rubricatochromis guttatus,Rubricatochromis guttatus
Rubricatochromis letourneuxi,Hemichromis letourneuxi,Rubricatochromis letourneuxi,Rubricatochromis letourneuxi
Rubricatochromis lifalili,Hemichromis lifalili,Rubricatochromis lifalili,Rubricatochromis lifalili
Rubricatochromis stellifer,Hemichromis stellifer,Rubricatochromis stellifer,Rubricatochromis stellifer
Sarotherodon galilaeus,Sarotherodon galilaeus,Sarotherodon galilaeus boulengeri,Sarotherodon galilaeus boulengeri
Carassius auratus,Carassius auratus,Carassius auratus 'high back crucian carp,Carassius auratus 'high back crucian carp
Carassius carassius,Carassius carassius,Carassius auratus 'high back crucian carp,Carassius auratus 'high back crucian carp
Cyprinus carpio,Cyprinus carpio,Cyprinus carpio 'Guilin,Cyprinus carpio 'Guilin
Garra andruzzii,Phreatichthys andruzzii,Garra andruzzii,Garra andruzzii
Luciobarbus pallaryi,Luciobarbus pallaryi,Luciobarbus pallaryi figuigensis,Luciobarbus pallaryi figuigensis
Abramis brama,Abramis brama,Abramis brama orientalis,Abramis brama orientalis
Anaecypris punica,Pseudophoxinus punicus,Anaecypris punica,Anaecypris punica
Pseudophoxinus callensis,Pseudophoxinus callensis,Tropidophoxinellus callensis,Tropidophoxinellus callensis
Rutilus rutilus,Rutilus rutilus,Rutilus rutilus caspicus,Rutilus rutilus caspicus
Aphyosemion celiae,Aphyosemion celiae,Aphyosemion celiae winifredae,Aphyosemion celiae winifredae
Fundulopanchax gardneri,Fundulopanchax gardneri,Fundulopanchax gardneri nigerianus,Fundulopanchax gardneri nigerianus
Pantanodon stuhlmanni,Pantanodon stuhlmanni,Aliteranodon stuhlmanni,Aliteranodon stuhlmanni
Ophiocara porocephala,Ophiocara porocephala,Ophiocara porocephalum,Ophiocara porocephalum
Cyphomyrus grahami,Hippopotamyrus grahami,Cyphomyrus grahami,Cyphomyrus grahami
Heteromormyrus ansorgii,Hippopotamyrus ansorgii,Heteromormyrus ansorgii,Heteromormyrus ansorgii
Heteromormyrus longilateralis,Hippopotamyrus longilateralis,Heteromormyrus longilateralis,Heteromormyrus longilateralis
Heteromormyrus szaboi,Hippopotamyrus szaboi,Heteromormyrus szaboi,Heteromormyrus szaboi
Heteromormyrus tavernei,Paramormyrops tavernei,Heteromormyrus tavernei,Heteromormyrus tavernei
Mormyrus caballus,Mormyrus caballus,Mormyrus caballus bumbanus,Mormyrus caballus bumbanus
Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss aguabonita,Oncorhynchus mykiss aguabonita
Salvelinus alpinus,Salvelinus alpinus,Salvelinus alpinus erythrinus,Salvelinus alpinus erythrinus
