speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies,Species,Fresh,Brack,SynOC,SynGenus,SynSpecies,Author,Year,SynonymsRef,SyncodeValid,LastEpithet,Comment,Etymology,ETYFish,ETYFishURL,Valid,ValidTax,Synonymy,SynonymyDetail,Combination,OriginalPub,Misspelling,MisspellingDetail,NounApposition,Protonym,Basionym,StatusOrder,RankSearch,CommentTax,GSDOriginal,GSDStatus,GSDVersionDate,GSDExpert,CAS_SPC,CAS_REF_NO,CoL,ION_ID,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,synonym_base,synonym_sub,fishbaseValid
Acipenser sturio,accepted name,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,29593,Acipenser,sturio,"Linnaeus, 1758",1758,3397,NA,sturio,NA,NA,NA,NA,1,1,senior synonym,NA,original combination,1,0,NA,0,0,1,4996,1,NA,1,1,2021-02-01T00:00:00Z,303,9774,2787,1,NA,2,1991-01-18T00:00:00Z,303,2014-05-06T00:00:00Z,1,1994-02-03T00:00:00Z,NA,Acipenser sturio,Acipenser sturio sturio,Acipenser sturio
Accipenser attilus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64012,Accipenser,attilus,"Rafinesque, 1820",1820,13696,NA,attilus,NA,NA,NA,NA,0,0,other,nomen nudum,original combination,0,0,NA,0,0,0,5001,255,NA,1,1,2021-02-01T00:00:00Z,303,27403,5088,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Accipenser attilus,Accipenser attilus attilus,Acipenser sturio
Accipenser sturio,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,29593,Accipenser,sturio,"Linnaeus, 1758",1758,3397,NA,sturio,Misspelling of the generic name.,NA,NA,NA,0,0,senior synonym,NA,original combination,0,1,ISSgen,0,0,0,4997,255,"GSD status set up by query, Nicolas, 17/10/12. Record previously modified by encoder no. 303 on  10/02/06.",0,9,NA,NA,9774,2787,1,NA,1,1997-04-01T00:00:00Z,303,2012-10-17T00:00:00Z,NA,NA,NA,Accipenser sturio,Accipenser sturio sturio,Acipenser sturio
Acipenser attilus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64014,Acipenser,attilus,"Gray, 1851",1851,13696,NA,attilus,Uneeded replacement name. As <i>Accipenser</i> from Ref. 12965.,NA,NA,NA,0,0,junior synonym,unneeded replacement name,original combination,0,0,NA,0,0,0,5003,4,NA,1,1,2021-02-01T00:00:00Z,303,64243,4939,1,NA,1,1998-01-06T00:00:00Z,303,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser attilus,Acipenser attilus attilus,Acipenser sturio
Acipenser ducissae,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64020,Acipenser,ducissae,"Duméril, 1870",1870,13696,NA,ducissae,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5011,4,Synonym of <i>Acipenser huso</i> Linnaeus 1758 in CoF 1997 (Ref. 12965).,1,1,2021-02-01T00:00:00Z,303,27462,1147,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser ducissae,Acipenser ducissae ducissae,Acipenser sturio
Acipenser europaeus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64024,Acipenser,europaeus,"Brusina, 1902",1902,13696,NA,europaeus,Not available.,NA,NA,NA,0,0,other,nomen nudum,original combination,1,0,NA,0,0,1,5016,255,"To check:  Nicolas:  Spelling in original, spelled europeus in CofF.",1,1,2021-02-01T00:00:00Z,303,27450,17292,1,NA,1,1998-01-06T00:00:00Z,303,2013-07-02T00:00:00Z,NA,NA,NA,Acipenser europaeus,Acipenser europaeus europaeus,Acipenser sturio
Acipenser fitzingeri,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,157295,Acipenser,fitzingeri,"Duméril, 1870",1870,13696,NA,fitzingeri,Originally spelled as <i>fitzingerii</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,1,ISSsp,0,0,0,5010,255,"GSD status set up by query, Nicolas, 17/10/12. Record previously modified by encoder no. 10 on  31/08/06.",0,9,NA,NA,27460,1147,1,NA,1,1998-01-06T00:00:00Z,303,2012-10-17T00:00:00Z,NA,NA,NA,Acipenser fitzingeri,Acipenser fitzingeri fitzingeri,Acipenser sturio
Acipenser fitzingerii,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,157295,Acipenser,fitzingerii,"Duméril, 1870",1870,13696,NA,fitzingerii,ex Valenciennes (Ref. 56787).  Subgenus:  <i>Huso</i>.,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5009,4,NA,1,1,2021-02-01T00:00:00Z,303,27460,1147,1,NA,10,2006-08-31T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser fitzingerii,Acipenser fitzingerii fitzingerii,Acipenser sturio
Acipenser hospitus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,64016,Acipenser,hospitus,"Krøyer, 1852",1852,13696,NA,hospitus,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5004,4,NA,1,1,2014-05-19T00:00:00Z,303,27454,18437,1,NA,1,1998-01-06T00:00:00Z,14,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser hospitus,Acipenser hospitus hospitus,Acipenser sturio
Acipenser laevissimus,synonym,2066,Acipenser sturio,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sturgeon,TRUE,sturio,1,1,163326,Acipenser,laevissimus,"Duméril, 1870",1870,81932,NA,laevissimus,NA,NA,NA,NA,0,0,junior synonym,NA,original combination,0,0,NA,0,0,0,5015,4,NA,1,1,2021-02-01T00:00:00Z,303,60569,1147,1,NA,14,2009-12-07T00:00:00Z,NA,2009-12-07T00:00:00Z,NA,NA,NA,Acipenser laevissimus,Acipenser laevissimus laevissimus,Acipenser sturio
