Species,FbSpecCode,Order,Family,,
Acipenser sturio,2066,Acipenseriformes,Acipenseridae,,
Alestes ansorgii,66488,Characiformes,Alestidae,,
Alosa algeriensis,65105,Clupeiformes,Alosidae,,
Ambassis ambassis,61467,Ovalentaria/misc,Ambassidae,,
Amphilius atesuensis,2448,Siluriformes,Amphiliidae,,These are the Accepted and Validnames
Ctenopoma acutirostre,10029,Anabantiformes,Anabantidae,,
Ancharius fuscus,9645,Siluriformes,Anchariidae,,
Anguilla anguilla,35,Anguilliformes,Anguillidae,,
Aphaniops dispar,4813,Cyprinodontiformes,Aphaniidae,,
Pachypanchax arnoulti,63023,Cyprinodontiformes,Aplocheilidae,,
Fibramia lateralis,5761,Kurtiformes,Apogonidae,,
Heterotis niloticus,2388,Osteoglossiformes,Arapaimidae,,
Arius africanus,1284,Siluriformes,Ariidae,,
Atherina boyeri,1696,Atheriniformes,Atherinidae,,
Austroglanis barnardi,6188,Siluriformes,Austroglanididae,,
Bagrus bajad,5462,Siluriformes,Bagridae,,
Bedotia albomarginata,62594,Atheriniformes,Bedotiidae,,
Tylosurus melanotus,1317,Beloniformes,Belonidae,,
Alloblennius jugularis,6046,Blenniiformes,Blenniidae,,
Bostrychus africanus,10009,Gobiiformes,Butidae,,
Caranx fischeri,63514,Carangiformes,Carangidae,,
Carcharhinus leucas,873,Carcharhiniformes,Carcharhinidae,,
Lepomis cyanellus,3371,Centrarchiformes,Centrarchidae,,
Chanos chanos,80,Gonorynchiformes,Chanidae,,
Channa maculata,8701,Anabantiformes,Channidae,,
Astyanax orthodus,52960,Characiformes,Characidae,,
Abactochromis labrosus,2347,Cichliformes,Cichlidae,,
Citharidium ansorgii,5266,Characiformes,Citharinidae,,
Bathyclarias atribranchus,8382,Siluriformes,Clariidae,,
Amarginops platus,9263,Siluriformes,Claroteidae,,
Cobitis maroccana,25873,Cypriniformes,Cobitidae,,
Citharichthys stampflii,4942,Pleuronectiformes,Cyclopsettidae,,
Cynoglossus lingua,8238,Pleuronectiformes,Cynoglossidae,,
Acapoeta tanganicae,11272,Cypriniformes,Cyprinidae,,
Chelaethiops bibie,5270,Cypriniformes,Danionidae,,
Brevitrygon imbricata,13150,Myliobatiformes,Dasyatidae,,
Denticeps clupeoides,4527,Clupeiformes,Denticipitidae,,
Belonophago hutsebouti,11171,Characiformes,Distichodontidae,,
Congothrissa gossei,1555,Clupeiformes,Dorosomatidae,,
Drepane punctata,454,Acanthuriformes,Drepaneidae,,
Dussumieria acuta,1453,Clupeiformes,Dussumieriidae,,
Gilchristella aestuaria,1556,Clupeiformes,Ehiravidae,,
Dormitator lebretonis,10008,Gobiiformes,Eleotridae,,
Elops lacerta,4959,Elopiformes,Elopidae,,
