Species,FbSpecCode,Order,Family
Abactochromis labrosus,2347,Cichliformes,Cichlidae
Abramis brama,268,Cypriniformes,Leuciscidae
Acanthocleithron chapini,9474,Siluriformes,Mochokidae
Acanthopagrus berda,5526,Eupercaria/misc,Sparidae
Acanthopagrus vagus,65558,Eupercaria/misc,Sparidae
Acapoeta tanganicae,11272,Cypriniformes,Cyprinidae
Acentrogobius caninus,4894,Gobiiformes,Gobiidae
Acentrogobius nebulosus,7228,Gobiiformes,Gobiidae
Acentrogobius simplex,9921,Gobiiformes,Gobiidae
Acentrogobius therezieni,9922,Gobiiformes,Gobiidae
Acentrogobius viridipunctatus,15776,Gobiiformes,Gobiidae
Acipenser sturio,2066,Acipenseriformes,Acipenseridae
Afronandus sheljuzhkoi,9916,Ovalentaria/misc,Polycentridae
Agonostomus catalai,61407,Mugiliformes,Mugilidae
Agonostomus telfairii,7860,Mugiliformes,Mugilidae
Alburnus alburnus,4730,Cypriniformes,Leuciscidae
Alestes ansorgii,66488,Characiformes,Alestidae
Alestes baremoze,2405,Characiformes,Alestidae
Alestes dentex,5229,Characiformes,Alestidae
Alestes inferus,64866,Characiformes,Alestidae
Alestes liebrechtsii,11092,Characiformes,Alestidae
Alestes macrophthalmus,5230,Characiformes,Alestidae
Alestes stuhlmannii,11098,Characiformes,Alestidae
Alestion rapax,69272,Characiformes,Alestidae
Alestopetersius bifasciatus,11130,Characiformes,Alestidae
Alestopetersius brichardi,11105,Characiformes,Alestidae
Alestopetersius caudalis,11107,Characiformes,Alestidae
Alestopetersius compressus,11108,Characiformes,Alestidae
Alestopetersius conspectus,66431,Characiformes,Alestidae
Alestopetersius hilgendorfi,11109,Characiformes,Alestidae
Alestopetersius leopoldianus,11110,Characiformes,Alestidae
Alestopetersius nigropterus,11112,Characiformes,Alestidae
Alestopetersius smykalai,5244,Characiformes,Alestidae
Alestopetersius tumbensis,11131,Characiformes,Alestidae
Alloblennius jugularis,6046,Blenniiformes,Blenniidae
Alosa algeriensis,65105,Clupeiformes,Alosidae
Alosa alosa,101,Clupeiformes,Alosidae
Alosa fallax,5355,Clupeiformes,Alosidae
Alticorpus geoffreyi,62418,Cichliformes,Cichlidae
Alticorpus macrocleithrum,2191,Cichliformes,Cichlidae
Alticorpus mentale,2192,Cichliformes,Cichlidae
Alticorpus peterdaviesi,2194,Cichliformes,Cichlidae
Alticorpus profundicola,2193,Cichliformes,Cichlidae
Altolamprologus calvus,8134,Cichliformes,Cichlidae
Altolamprologus compressiceps,8135,Cichliformes,Cichlidae
Amarginops platus,9263,Siluriformes,Claroteidae
Amatolacypris trevelyani,6099,Cypriniformes,Cyprinidae
Ambassis ambassis,61467,Ovalentaria/misc,Ambassidae
Ambassis dussumieri,9899,Ovalentaria/misc,Ambassidae
Ambassis fontoynonti,9900,Ovalentaria/misc,Ambassidae
Ambassis gymnocephalus,4806,Ovalentaria/misc,Ambassidae
Ambassis natalensis,8016,Ovalentaria/misc,Ambassidae
Ambassis urotaenia,9235,Ovalentaria/misc,Ambassidae
Amphilius atesuensis,2448,Siluriformes,Amphiliidae
Amphilius athiensis,65747,Siluriformes,Amphiliidae
Amphilius brevis,9406,Siluriformes,Amphiliidae
Amphilius chalei,64266,Siluriformes,Amphiliidae
Amphilius crassus,68052,Siluriformes,Amphiliidae
Amphilius cryptobullatus,50994,Siluriformes,Amphiliidae
Amphilius dimonikensis,64047,Siluriformes,Amphiliidae
Amphilius frieli,67859,Siluriformes,Amphiliidae
Amphilius grandis,66217,Siluriformes,Amphiliidae
Amphilius jacksonii,9407,Siluriformes,Amphiliidae
Amphilius kakrimensis,12813,Siluriformes,Amphiliidae
Amphilius kivuensis,9408,Siluriformes,Amphiliidae
Amphilius korupi,64050,Siluriformes,Amphiliidae
Amphilius krefftii,66218,Siluriformes,Amphiliidae
Amphilius lamani,9409,Siluriformes,Amphiliidae
Amphilius laticaudatus,9411,Siluriformes,Amphiliidae
Amphilius lentiginosus,9412,Siluriformes,Amphiliidae
Amphilius longirostris,9413,Siluriformes,Amphiliidae
Amphilius lujani,68053,Siluriformes,Amphiliidae
Amphilius maesii,9414,Siluriformes,Amphiliidae
Amphilius mamonekenensis,64051,Siluriformes,Amphiliidae
Amphilius natalensis,8381,Siluriformes,Amphiliidae
Amphilius nigricaudatus,66735,Siluriformes,Amphiliidae
Amphilius opisthophthalmus,9416,Siluriformes,Amphiliidae
Amphilius pedunculus,68049,Siluriformes,Amphiliidae
Amphilius platychir,2449,Siluriformes,Amphiliidae
Amphilius pulcher,9417,Siluriformes,Amphiliidae
Amphilius rheophilus,9418,Siluriformes,Amphiliidae
Amphilius ruziziensis,68048,Siluriformes,Amphiliidae
Amphilius uranoscopus,9419,Siluriformes,Amphiliidae
Amphilius zairensis,50995,Siluriformes,Amphiliidae
Ancharius fuscus,9645,Siluriformes,Anchariidae
Ancharius griseus,62541,Siluriformes,Anchariidae
Andersonia leptura,9420,Siluriformes,Amphiliidae
Anguilla anguilla,35,Anguilliformes,Anguillidae
Anguilla bengalensis,1272,Anguilliformes,Anguillidae
Anguilla bicolor,1274,Anguilliformes,Anguillidae
Anguilla labiata,1273,Anguilliformes,Anguillidae
Anguilla marmorata,1275,Anguilliformes,Anguillidae
Anguilla mossambica,1276,Anguilliformes,Anguillidae
Anguilla nebulosa,11700,Anguilliformes,Anguillidae
Anguilla obscura,7511,Anguilliformes,Anguillidae
Anomalochromis thomasi,8136,Cichliformes,Cichlidae
Anoxypristis cuspidata,8211,Rhinopristiformes,Pristidae
Aphaniops dispar,4813,Cyprinodontiformes,Aphaniidae
Aphanius fasciatus,4834,Cyprinodontiformes,Aphaniidae
Aphyosemion ahli,9707,Cyprinodontiformes,Nothobranchiidae
Aphyosemion amoenum,55986,Cyprinodontiformes,Nothobranchiidae
Aphyosemion australe,8770,Cyprinodontiformes,Nothobranchiidae
Aphyosemion bamilekorum,9711,Cyprinodontiformes,Nothobranchiidae
Aphyosemion batesii,9712,Cyprinodontiformes,Nothobranchiidae
Aphyosemion bitaeniatum,9713,Cyprinodontiformes,Nothobranchiidae
Aphyosemion bivittatum,9714,Cyprinodontiformes,Nothobranchiidae
Aphyosemion bualanum,9716,Cyprinodontiformes,Nothobranchiidae
Aphyosemion buytaerti,9717,Cyprinodontiformes,Nothobranchiidae
Aphyosemion callipteron,49552,Cyprinodontiformes,Nothobranchiidae
Aphyosemion calliurum,9718,Cyprinodontiformes,Nothobranchiidae
Aphyosemion cameronense,9719,Cyprinodontiformes,Nothobranchiidae
Aphyosemion campomaanense,64894,Cyprinodontiformes,Nothobranchiidae
Aphyosemion castaneum,66275,Cyprinodontiformes,Nothobranchiidae
Aphyosemion caudofasciatum,9720,Cyprinodontiformes,Nothobranchiidae
Aphyosemion celiae,9723,Cyprinodontiformes,Nothobranchiidae
Aphyosemion chauchei,9722,Cyprinodontiformes,Nothobranchiidae
Aphyosemion christyi,9724,Cyprinodontiformes,Nothobranchiidae
Aphyosemion coeleste,9727,Cyprinodontiformes,Nothobranchiidae
Aphyosemion cognatum,9728,Cyprinodontiformes,Nothobranchiidae
Aphyosemion congicum,9729,Cyprinodontiformes,Nothobranchiidae
Aphyosemion cryptum,69594,Cyprinodontiformes,Nothobranchiidae
Aphyosemion cyanoflavum,69592,Cyprinodontiformes,Nothobranchiidae
Aphyosemion cyanostictum,9815,Cyprinodontiformes,Nothobranchiidae
Aphyosemion dargei,49475,Cyprinodontiformes,Nothobranchiidae
Aphyosemion decorsei,9730,Cyprinodontiformes,Nothobranchiidae
Aphyosemion ecucuense,64222,Cyprinodontiformes,Nothobranchiidae
Aphyosemion edeanum,49478,Cyprinodontiformes,Nothobranchiidae
Aphyosemion elberti,54027,Cyprinodontiformes,Nothobranchiidae
Aphyosemion elegans,9731,Cyprinodontiformes,Nothobranchiidae
Aphyosemion erythron,64224,Cyprinodontiformes,Nothobranchiidae
Aphyosemion escherichi,9760,Cyprinodontiformes,Nothobranchiidae
Aphyosemion exiguum,9734,Cyprinodontiformes,Nothobranchiidae
Aphyosemion fellmanni,68941,Cyprinodontiformes,Nothobranchiidae
Aphyosemion ferranti,9735,Cyprinodontiformes,Nothobranchiidae
Aphyosemion franzwerneri,9737,Cyprinodontiformes,Nothobranchiidae
Aphyosemion heinemanni,9744,Cyprinodontiformes,Nothobranchiidae
Aphyosemion herzogi,9745,Cyprinodontiformes,Nothobranchiidae
Aphyosemion jeanhuberi,68432,Cyprinodontiformes,Nothobranchiidae
Aphyosemion koungueense,64055,Cyprinodontiformes,Nothobranchiidae
Aphyosemion labarrei,9750,Cyprinodontiformes,Nothobranchiidae
Aphyosemion lefiniense,49700,Cyprinodontiformes,Nothobranchiidae
Aphyosemion lividum,64575,Cyprinodontiformes,Nothobranchiidae
Aphyosemion loennbergii,9753,Cyprinodontiformes,Nothobranchiidae
Aphyosemion louessense,9754,Cyprinodontiformes,Nothobranchiidae
Aphyosemion lugens,49481,Cyprinodontiformes,Nothobranchiidae
Aphyosemion lujae,9755,Cyprinodontiformes,Nothobranchiidae
Aphyosemion malumbresi,64576,Cyprinodontiformes,Nothobranchiidae
Aphyosemion mandoroense,69593,Cyprinodontiformes,Nothobranchiidae
Aphyosemion melanogaster,62951,Cyprinodontiformes,Nothobranchiidae
Aphyosemion melinoeides,64057,Cyprinodontiformes,Nothobranchiidae
Aphyosemion musafirii,66073,Cyprinodontiformes,Nothobranchiidae
Aphyosemion ocellatum,9773,Cyprinodontiformes,Nothobranchiidae
Aphyosemion ogoense,9775,Cyprinodontiformes,Nothobranchiidae
Aphyosemion omega,64056,Cyprinodontiformes,Nothobranchiidae
Aphyosemion pamaense,67086,Cyprinodontiformes,Nothobranchiidae
Aphyosemion pascheni,9776,Cyprinodontiformes,Nothobranchiidae
Aphyosemion poliaki,49719,Cyprinodontiformes,Nothobranchiidae
Aphyosemion polli,49482,Cyprinodontiformes,Nothobranchiidae
Aphyosemion pseudoelegans,66733,Cyprinodontiformes,Nothobranchiidae
Aphyosemion punctatum,9779,Cyprinodontiformes,Nothobranchiidae
Aphyosemion punctulatum,62950,Cyprinodontiformes,Nothobranchiidae
Aphyosemion raddai,9782,Cyprinodontiformes,Nothobranchiidae
Aphyosemion riggenbachi,9785,Cyprinodontiformes,Nothobranchiidae
Aphyosemion schioetzi,9790,Cyprinodontiformes,Nothobranchiidae
Aphyosemion schluppi,9791,Cyprinodontiformes,Nothobranchiidae
Aphyosemion schoutedeni,66489,Cyprinodontiformes,Nothobranchiidae
Aphyosemion seegersi,9820,Cyprinodontiformes,Nothobranchiidae
Aphyosemion splendopleure,9793,Cyprinodontiformes,Nothobranchiidae
Aphyosemion striatum,9795,Cyprinodontiformes,Nothobranchiidae
Aphyosemion teugelsi,65872,Cyprinodontiformes,Nothobranchiidae
Aphyosemion thysi,9796,Cyprinodontiformes,Nothobranchiidae
Aphyosemion trilineatus,9798,Cyprinodontiformes,Nothobranchiidae
Aphyosemion volcanum,9801,Cyprinodontiformes,Nothobranchiidae
Aphyosemion wachtersi,9802,Cyprinodontiformes,Nothobranchiidae
Aphyosemion wildekampi,9809,Cyprinodontiformes,Nothobranchiidae
Aphyosemion zygaima,9812,Cyprinodontiformes,Nothobranchiidae
Aplocheilichthys spilauchen,2465,Cyprinodontiformes,Procatopodidae
Apricaphanius iberus,4876,Cyprinodontiformes,Aphaniidae
Apricaphanius saourensis,62763,Cyprinodontiformes,Aphaniidae
Archiaphyosemion guineense,9742,Cyprinodontiformes,Nothobranchiidae
Argyrosomus hololepidotus,419,Eupercaria/misc,Sciaenidae
Aristochromis christyi,2260,Cichliformes,Cichlidae
Arius africanus,1284,Siluriformes,Ariidae
Arius brunellii,9647,Siluriformes,Ariidae
Arius festinus,62102,Siluriformes,Ariidae
Arius madagascariensis,1291,Siluriformes,Ariidae
Arius uncinatus,62103,Siluriformes,Ariidae
Arnoldichthys spilopterus,5247,Characiformes,Alestidae
Astatoreochromis alluaudi,4688,Cichliformes,Cichlidae
Astatoreochromis straeleni,6879,Cichliformes,Cichlidae
Astatotilapia bloyeti,6698,Cichliformes,Cichlidae
Astatotilapia burtoni,6704,Cichliformes,Cichlidae
Astatotilapia calliptera,6707,Cichliformes,Cichlidae
Astatotilapia desfontainii,6725,Cichliformes,Cichlidae
Astatotilapia stappersii,6855,Cichliformes,Cichlidae
Astatotilapia swynnertoni,6858,Cichliformes,Cichlidae
Astatotilapia tchadensis,68415,Cichliformes,Cichlidae
Astatotilapia tweddlei,6867,Cichliformes,Cichlidae
Astronotus ocellatus,3612,Cichliformes,Cichlidae
Astyanax orthodus,52960,Characiformes,Characidae
Atherina boyeri,1696,Atheriniformes,Atherinidae
Atherina breviceps,1301,Atheriniformes,Atherinidae
Atherina hepsetus,1697,Atheriniformes,Atherinidae
Atherinomorus lacunosus,1303,Atheriniformes,Atherinidae
Atopochilus chabanaudi,9477,Siluriformes,Mochokidae
Atopochilus christyi,9478,Siluriformes,Mochokidae
Atopochilus macrocephalus,9479,Siluriformes,Mochokidae
Atopochilus mandevillei,9482,Siluriformes,Mochokidae
Atopochilus pachychilus,9483,Siluriformes,Mochokidae
Atopochilus savorgnani,9475,Siluriformes,Mochokidae
Atopochilus vogti,7304,Siluriformes,Mochokidae
Auchenoglanis biscutatus,5464,Siluriformes,Claroteidae
Auchenoglanis occidentalis,2438,Siluriformes,Claroteidae
Aulonocara aquilonium,60047,Cichliformes,Cichlidae
Aulonocara auditor,2177,Cichliformes,Cichlidae
Aulonocara baenschi,2179,Cichliformes,Cichlidae
Aulonocara brevinidus,60046,Cichliformes,Cichlidae
Aulonocara brevirostre,2178,Cichliformes,Cichlidae
Aulonocara ethelwynnae,2181,Cichliformes,Cichlidae
Aulonocara gertrudae,60045,Cichliformes,Cichlidae
Aulonocara guentheri,2174,Cichliformes,Cichlidae
Aulonocara hansbaenschi,2182,Cichliformes,Cichlidae
Aulonocara hueseri,2183,Cichliformes,Cichlidae
Aulonocara jacobfreibergi,2184,Cichliformes,Cichlidae
Aulonocara kandeense,2187,Cichliformes,Cichlidae
Aulonocara koningsi,62427,Cichliformes,Cichlidae
Aulonocara korneliae,2185,Cichliformes,Cichlidae
Aulonocara maylandi,2186,Cichliformes,Cichlidae
Aulonocara nyassae,2173,Cichliformes,Cichlidae
Aulonocara rostratum,2176,Cichliformes,Cichlidae
Aulonocara saulosi,2188,Cichliformes,Cichlidae
Aulonocara steveni,2189,Cichliformes,Cichlidae
Aulonocara stonemani,2145,Cichliformes,Cichlidae
Aulonocara stuartgranti,2190,Cichliformes,Cichlidae
Aulonocara trematocephalum,2180,Cichliformes,Cichlidae
Aulonocranus dewindti,8138,Cichliformes,Cichlidae
Aulopareia unicolor,25064,Gobiiformes,Gobiidae
Austroglanis barnardi,6188,Siluriformes,Austroglanididae
Austroglanis gilli,6189,Siluriformes,Austroglanididae
Austroglanis sclateri,6190,Siluriformes,Austroglanididae
Awaous aeneofuscus,9935,Gobiiformes,Gobiidae
Awaous bustamantei,59373,Gobiiformes,Gobiidae
Awaous commersoni,9964,Gobiiformes,Gobiidae
Awaous lateristriga,2492,Gobiiformes,Gobiidae
Awaous macrorhynchus,9937,Gobiiformes,Gobiidae
Awaous pallidus,9941,Gobiiformes,Gobiidae
Bagrus bajad,5462,Siluriformes,Bagridae
Bagrus caeruleus,9280,Siluriformes,Bagridae
Bagrus degeni,9281,Siluriformes,Bagridae
Bagrus docmak,6519,Siluriformes,Bagridae
Bagrus filamentosus,9282,Siluriformes,Bagridae
Bagrus lubosicus,9284,Siluriformes,Bagridae
Bagrus meridionalis,4721,Siluriformes,Bagridae
Bagrus orientalis,9285,Siluriformes,Bagridae
Bagrus ubangensis,9286,Siluriformes,Bagridae
Bagrus urostigma,9287,Siluriformes,Bagridae
Baileychromis centropomoides,8139,Cichliformes,Cichlidae
Barboides britzi,62804,Cypriniformes,Cyprinidae
Barboides gracilis,5287,Cypriniformes,Cyprinidae
Barbopsis devecchii,11273,Cypriniformes,Cyprinidae
Barbus barbus,4472,Cypriniformes,Cyprinidae
Bathyaethiops atercrinis,66692,Characiformes,Alestidae
Bathyaethiops baka,68076,Characiformes,Alestidae
Bathyaethiops breuseghemi,11114,Characiformes,Alestidae
Bathyaethiops caudomaculatus,11115,Characiformes,Alestidae
Bathyaethiops flammeus,68077,Characiformes,Alestidae
Bathyaethiops greeni,11117,Characiformes,Alestidae
Bathybagrus grandis,9301,Siluriformes,Claroteidae
Bathybagrus graueri,9302,Siluriformes,Claroteidae
Bathybagrus platycephalus,9318,Siluriformes,Claroteidae
Bathybagrus sianenna,9322,Siluriformes,Claroteidae
Bathybagrus stappersii,9323,Siluriformes,Claroteidae
Bathybagrus tetranema,9288,Siluriformes,Claroteidae
Bathybates fasciatus,8140,Cichliformes,Cichlidae
Bathybates ferox,8141,Cichliformes,Cichlidae
Bathybates graueri,8142,Cichliformes,Cichlidae
Bathybates hornii,8143,Cichliformes,Cichlidae
Bathybates leo,8144,Cichliformes,Cichlidae
Bathybates minor,8145,Cichliformes,Cichlidae
Bathybates vittatus,8146,Cichliformes,Cichlidae
Bathyclarias atribranchus,8382,Siluriformes,Clariidae
Bathyclarias euryodon,8366,Siluriformes,Clariidae
Bathyclarias filicibarbis,8367,Siluriformes,Clariidae
Bathyclarias foveolatus,8368,Siluriformes,Clariidae
Bathyclarias longibarbis,8372,Siluriformes,Clariidae
Bathyclarias nyasensis,8374,Siluriformes,Clariidae
Bathyclarias rotundifrons,8375,Siluriformes,Clariidae
Bathyclarias worthingtoni,8376,Siluriformes,Clariidae
Bathygobius fuscus,7201,Gobiiformes,Gobiidae
Bathygobius soporator,3837,Gobiiformes,Gobiidae
Bedotia albomarginata,62594,Atheriniformes,Bedotiidae
Bedotia alveyi,65532,Atheriniformes,Bedotiidae
Bedotia geayi,9883,Atheriniformes,Bedotiidae
Bedotia leucopteron,64226,Atheriniformes,Bedotiidae
Bedotia longianalis,65662,Atheriniformes,Bedotiidae
Bedotia madagascariensis,9882,Atheriniformes,Bedotiidae
Bedotia marojejy,58332,Atheriniformes,Bedotiidae
Bedotia masoala,60395,Atheriniformes,Bedotiidae
Bedotia tricolor,65663,Atheriniformes,Bedotiidae
Belonoglanis brieni,9422,Siluriformes,Amphiliidae
Belonoglanis tenuis,9421,Siluriformes,Amphiliidae
Belonophago hutsebouti,11171,Characiformes,Distichodontidae
Belonophago tinanti,11173,Characiformes,Distichodontidae
Benitochromis batesii,8156,Cichliformes,Cichlidae
Benitochromis conjunctus,60333,Cichliformes,Cichlidae
Benitochromis finleyi,8158,Cichliformes,Cichlidae
Benitochromis nigrodorsalis,59597,Cichliformes,Cichlidae
Benitochromis riomuniensis,8646,Cichliformes,Cichlidae
Benitochromis ufermanni,60334,Cichliformes,Cichlidae
Benthochromis horii,63692,Cichliformes,Cichlidae
Benthochromis melanoides,8147,Cichliformes,Cichlidae
Benthochromis tricoti,8148,Cichliformes,Cichlidae
Bostrychus africanus,10009,Gobiiformes,Butidae
Boulengerochromis microlepis,6008,Cichliformes,Cichlidae
Boulengeromyrus knoepffleri,10825,Osteoglossiformes,Mormyridae
Brachirus orientalis,8312,Pleuronectiformes,Soleidae
Brachypetersius altus,11118,Characiformes,Alestidae
Brachypetersius cadwaladeri,11120,Characiformes,Alestidae
Brachypetersius huloti,11122,Characiformes,Alestidae
