speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName	commonSpecies
Abactochromis labrosus	accepted name	2347	Abactochromis labrosus	Teleostei	Cichliformes	Cichlidae	Abactochromis	NA	TRUE
Abalistes stellairs	synonym	9	Abalistes stellatus	Teleostei	Tetraodontiformes	Balistidae	Abalistes	Starry triggerfish	TRUE
Abalistes stellaris	synonym	9	Abalistes stellatus	Teleostei	Tetraodontiformes	Balistidae	Abalistes	Starry triggerfish	TRUE
Abalistes stellatus	accepted name	9	Abalistes stellatus	Teleostei	Tetraodontiformes	Balistidae	Abalistes	Starry triggerfish	TRUE
Abantennarius coccineus	accepted name	5402	Abantennarius coccineus	Teleostei	Lophiiformes	Antennariidae	Abantennarius	Scarlet frogfish	TRUE
Abantennarius dorehensis	accepted name	7294	Abantennarius dorehensis	Teleostei	Lophiiformes	Antennariidae	Abantennarius	New Guinean frogfish	TRUE
Abantennarius neocaledoniensis	synonym	5402	Abantennarius coccineus	Teleostei	Lophiiformes	Antennariidae	Abantennarius	Scarlet frogfish	TRUE
Abantennarius nummifer	accepted name	5403	Abantennarius nummifer	Teleostei	Lophiiformes	Antennariidae	Abantennarius	Spotfin frogfish	TRUE
Ablabys binotatus	accepted name	8049	Ablabys binotatus	Teleostei	Perciformes/Scorpaenoidei	Tetrarogidae	Ablabys	Redskinfish	TRUE
Ablabys taenianotus	accepted name	10232	Ablabys taenianotus	Teleostei	Perciformes/Scorpaenoidei	Tetrarogidae	Ablabys	Cockatoo waspfish	TRUE
Ablabys taenionotus	synonym	10232	Ablabys taenianotus	Teleostei	Perciformes/Scorpaenoidei	Tetrarogidae	Ablabys	Cockatoo waspfish	TRUE
Ablenes hians	synonym	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Ablennes hians	accepted name	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Ablennes hians pacificus	synonym	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Ablennes pacificus	synonym	972	Ablennes hians	Teleostei	Beloniformes	Belonidae	Ablennes	Flat needlefish	TRUE
Abramis alburnus	synonym	4730	Alburnus alburnus	Teleostei	Cypriniformes	Leuciscidae	Alburnus	Bleak	TRUE
Abramis argyreus	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama	accepted name	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama bergi	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama danubii	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama orientalis	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis brama sinegorensis	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
Abramis gehini	synonym	268	Abramis brama	Teleostei	Cypriniformes	Leuciscidae	Abramis	Freshwater bream	TRUE
