"speciesName","status","fbSpecCode","validName","class","order","family","genus","commonName","commonSpecies","Fresh","Brack"
"Acipenser sturio","accepted name",2066,"Acipenser sturio","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Sturgeon",TRUE,1,1
"Alestes ansorgii","accepted name",66488,"Alestes ansorgii","Teleostei","Characiformes","Alestidae","Alestes",NA,TRUE,1,0
"Alosa algeriensis","accepted name",65105,"Alosa algeriensis","Teleostei","Clupeiformes","Alosidae","Alosa","North African shad",TRUE,1,1
"Ambassis ambassis","accepted name",61467,"Ambassis ambassis","Teleostei","Ovalentaria/misc","Ambassidae","Ambassis","Commerson's glassy",TRUE,1,1
"Amphilius atesuensis","accepted name",2448,"Amphilius atesuensis","Teleostei","Siluriformes","Amphiliidae","Amphilius",NA,TRUE,1,0
"Ctenopoma acutirostre","accepted name",10029,"Ctenopoma acutirostre","Teleostei","Anabantiformes","Anabantidae","Ctenopoma","Spotted ctenopoma",TRUE,1,0
"Ancharius fuscus","accepted name",9645,"Ancharius fuscus","Teleostei","Siluriformes","Anchariidae","Ancharius",NA,TRUE,1,0
"Anguilla anguilla","accepted name",35,"Anguilla anguilla","Teleostei","Anguilliformes","Anguillidae","Anguilla","European eel",TRUE,1,1
"Aphaniops dispar","accepted name",4813,"Aphaniops dispar","Teleostei","Cyprinodontiformes","Aphaniidae","Aphaniops","Arabian pupfish",TRUE,1,1
"Pachypanchax arnoulti","accepted name",63023,"Pachypanchax arnoulti","Teleostei","Cyprinodontiformes","Aplocheilidae","Pachypanchax",NA,TRUE,1,0
"Fibramia lateralis","accepted name",5761,"Fibramia lateralis","Teleostei","Kurtiformes","Apogonidae","Fibramia","Humpback cardinal",TRUE,1,1
"Heterotis niloticus","accepted name",2388,"Heterotis niloticus","Teleostei","Osteoglossiformes","Arapaimidae","Heterotis","African bonytongue",TRUE,1,0
"Arius africanus","accepted name",1284,"Arius africanus","Teleostei","Siluriformes","Ariidae","Arius","African sea catfish",TRUE,1,1
"Atherina boyeri","accepted name",1696,"Atherina boyeri","Teleostei","Atheriniformes","Atherinidae","Atherina","Big-scale sand smelt",TRUE,1,1
"Austroglanis barnardi","accepted name",6188,"Austroglanis barnardi","Teleostei","Siluriformes","Austroglanididae","Austroglanis","Barnard's rock-catfish",TRUE,1,0
"Bagrus bajad","accepted name",5462,"Bagrus bajad","Teleostei","Siluriformes","Bagridae","Bagrus","Bayad",TRUE,1,0
"Bedotia albomarginata","accepted name",62594,"Bedotia albomarginata","Teleostei","Atheriniformes","Bedotiidae","Bedotia",NA,TRUE,1,0
"Tylosurus melanotus","accepted name",1317,"Tylosurus melanotus","Teleostei","Beloniformes","Belonidae","Tylosurus","Keel-jawed needle fish",TRUE,1,1
"Alloblennius jugularis","accepted name",6046,"Alloblennius jugularis","Teleostei","Blenniiformes","Blenniidae","Alloblennius","Jugular blenny",TRUE,1,1
"Bostrychus africanus","accepted name",10009,"Bostrychus africanus","Teleostei","Gobiiformes","Butidae","Bostrychus",NA,TRUE,1,1
"Caranx fischeri","accepted name",63514,"Caranx fischeri","Teleostei","Carangiformes","Carangidae","Caranx","Longfin crevalle jack",TRUE,1,1
"Carcharhinus leucas","accepted name",873,"Carcharhinus leucas","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Bull shark",TRUE,1,1
"Lepomis cyanellus","accepted name",3371,"Lepomis cyanellus","Teleostei","Centrarchiformes","Centrarchidae","Lepomis","Green sunfish",TRUE,1,0
"Chanos chanos","accepted name",80,"Chanos chanos","Teleostei","Gonorynchiformes","Chanidae","Chanos","Milkfish",TRUE,1,1
"Channa maculata","accepted name",8701,"Channa maculata","Teleostei","Anabantiformes","Channidae","Channa","Blotched snakehead",TRUE,1,0
"Astyanax orthodus","accepted name",52960,"Astyanax orthodus","Teleostei","Characiformes","Characidae","Astyanax",NA,TRUE,1,0
"Abactochromis labrosus","accepted name",2347,"Abactochromis labrosus","Teleostei","Cichliformes","Cichlidae","Abactochromis",NA,TRUE,1,0
"Citharidium ansorgii","accepted name",5266,"Citharidium ansorgii","Teleostei","Characiformes","Citharinidae","Citharidium",NA,TRUE,1,0
"Bathyclarias atribranchus","accepted name",8382,"Bathyclarias atribranchus","Teleostei","Siluriformes","Clariidae","Bathyclarias",NA,TRUE,1,0
"Amarginops platus","accepted name",9263,"Amarginops platus","Teleostei","Siluriformes","Claroteidae","Amarginops",NA,TRUE,1,0
"Cobitis maroccana","accepted name",25873,"Cobitis maroccana","Teleostei","Cypriniformes","Cobitidae","Cobitis",NA,TRUE,1,0
"Citharichthys stampflii","accepted name",4942,"Citharichthys stampflii","Teleostei","Pleuronectiformes","Cyclopsettidae","Citharichthys","Smooth flounder",TRUE,1,1
"Cynoglossus lingua","accepted name",8238,"Cynoglossus lingua","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","Long tongue sole",TRUE,1,1
"Acapoeta tanganicae","accepted name",11272,"Acapoeta tanganicae","Teleostei","Cypriniformes","Cyprinidae","Acapoeta",NA,TRUE,1,0
"Chelaethiops bibie","accepted name",5270,"Chelaethiops bibie","Teleostei","Cypriniformes","Danionidae","Chelaethiops","Lake Turkana sardine",TRUE,1,0
"Brevitrygon imbricata","accepted name",13150,"Brevitrygon imbricata","Elasmobranchii","Myliobatiformes","Dasyatidae","Brevitrygon","Coromandel whipray",TRUE,1,1
"Denticeps clupeoides","accepted name",4527,"Denticeps clupeoides","Teleostei","Clupeiformes","Denticipitidae","Denticeps","Denticle herring",TRUE,1,0
"Belonophago hutsebouti","accepted name",11171,"Belonophago hutsebouti","Teleostei","Characiformes","Distichodontidae","Belonophago",NA,TRUE,1,0
"Congothrissa gossei","accepted name",1555,"Congothrissa gossei","Teleostei","Clupeiformes","Dorosomatidae","Congothrissa","Smoothbelly pellonuline",TRUE,1,0
"Drepane punctata","accepted name",454,"Drepane punctata","Teleostei","Acanthuriformes","Drepaneidae","Drepane","Spotted sicklefish",TRUE,1,1
"Dussumieria acuta","accepted name",1453,"Dussumieria acuta","Teleostei","Clupeiformes","Dussumieriidae","Dussumieria","Rainbow sardine",TRUE,1,1
"Gilchristella aestuaria","accepted name",1556,"Gilchristella aestuaria","Teleostei","Clupeiformes","Ehiravidae","Gilchristella","Gilchrist's round herring",TRUE,1,1
"Dormitator lebretonis","accepted name",10008,"Dormitator lebretonis","Teleostei","Gobiiformes","Eleotridae","Dormitator",NA,TRUE,1,1
"Elops lacerta","accepted name",4959,"Elops lacerta","Teleostei","Elopiformes","Elopidae","Elops","West African ladyfish",TRUE,1,1
"Coilia dussumieri","accepted name",625,"Coilia dussumieri","Teleostei","Clupeiformes","Engraulidae","Coilia","Goldspotted grenadier anchovy",TRUE,1,1
"Esox lucius","accepted name",258,"Esox lucius","Teleostei","Esociformes","Esocidae","Esox","Northern pike",TRUE,1,1
"Galaxias zebratus","accepted name",11050,"Galaxias zebratus","Teleostei","Galaxiiformes","Galaxiidae","Galaxias","Cape Galaxias",TRUE,1,0
"Gasterosteus aculeatus","accepted name",2420,"Gasterosteus aculeatus","Teleostei","Perciformes/Gasterosteoidei","Gasterosteidae","Gasterosteus","Three-spined stickleback",TRUE,1,1
"Eucinostomus melanopterus","accepted name",1052,"Eucinostomus melanopterus","Teleostei","Eupercaria/misc","Gerreidae","Eucinostomus","Flagfin mojarra",TRUE,1,1
"Acentrogobius caninus","accepted name",4894,"Acentrogobius caninus","Teleostei","Gobiiformes","Gobiidae","Acentrogobius","Tropical sand goby",TRUE,1,1
"Gobio gobio","accepted name",4478,"Gobio gobio","Teleostei","Cypriniformes","Gobionidae","Gobio","Gudgeon",TRUE,1,1
"Gymnarchus niloticus","accepted name",4519,"Gymnarchus niloticus","Teleostei","Osteoglossiformes","Gymnarchidae","Gymnarchus","Aba",TRUE,1,0
"Plectorhinchus gibbosus","accepted name",6366,"Plectorhinchus gibbosus","Teleostei","Eupercaria/misc","Haemulidae","Plectorhinchus","Harry hotlips",TRUE,1,1
"Hyporhamphus capensis","accepted name",7711,"Hyporhamphus capensis","Teleostei","Beloniformes","Hemiramphidae","Hyporhamphus","Cape halfbeak",TRUE,1,1
